onset	duration	sample	value	gid
18.181640625	n/a	18619	1121	0
18.181640625	n/a	18619	1241	0
18.181640625	n/a	18619	1321	4017
26.0283203125	n/a	26654	2120	0
33.5400390625	n/a	34346	1322	4017
33.5400390625	n/a	34346	1321	4002
39.5791015625	n/a	40530	2120	0
40.9052734375	n/a	41888	1322	4002
40.9052734375	n/a	41888	1311	1028
49.65625	n/a	50849	2110	0
50.265625	n/a	51473	1312	1028
50.265625	n/a	51473	1331	4019
55.83984375	n/a	57181	2120	0
59.1923828125	n/a	60614	1332	4019
59.1923828125	n/a	60614	1311	1168
68.25	n/a	69889	2110	0
68.8505859375	n/a	70504	1312	1168
68.8505859375	n/a	70504	1311	1029
75.615234375	n/a	77431	2110	0
76.208984375	n/a	78039	1312	1029
76.208984375	n/a	78039	1311	1215
83.1025390625	n/a	85098	2110	0
83.7255859375	n/a	85736	1312	1215
83.7255859375	n/a	85736	1331	4037
92.0380859375	n/a	94248	2120	0
94.6181640625	n/a	96890	1332	4037
94.6181640625	n/a	96890	1311	1243
99.736328125	n/a	102131	2110	0
100.3525390625	n/a	102762	1312	1243
100.3525390625	n/a	102762	1311	1093
106.0537109375	n/a	108600	2110	0
106.6689453125	n/a	109230	1312	1093
106.6689453125	n/a	109230	1311	1008
113.94921875	n/a	116685	2110	0
114.5517578125	n/a	117302	1312	1008
114.5517578125	n/a	117302	1321	4014
121.751953125	n/a	124675	2120	0
125.912109375	n/a	128935	1322	4014
125.912109375	n/a	128935	1311	1255
134.484375	n/a	137713	2110	0
199.2587890625	n/a	204042	1312	1255
199.2587890625	n/a	204042	1311	1092
211.90625	n/a	216993	2110	0
212.5322265625	n/a	217634	1312	1092
212.5322265625	n/a	217634	1331	4026
219.6435546875	n/a	224916	2110	0
220.2412109375	n/a	225528	1332	4026
220.2412109375	n/a	225528	1311	1213
226.1533203125	n/a	231582	2110	0
226.7626953125	n/a	232206	1312	1213
226.7626953125	n/a	232206	1311	1181
233.7880859375	n/a	239400	2110	0
234.408203125	n/a	240035	1312	1181
234.408203125	n/a	240035	1311	1204
243.7763671875	n/a	249628	2110	0
244.4248046875	n/a	250292	1312	1204
244.4248046875	n/a	250292	1321	4009
249.064453125	n/a	255043	2120	0
252.314453125	n/a	258371	1322	4009
252.314453125	n/a	258371	1311	1114
259.37109375	n/a	265597	2110	0
259.9794921875	n/a	266220	1312	1114
259.9794921875	n/a	266220	1311	1042
266.943359375	n/a	273351	2110	0
267.55859375	n/a	273981	1312	1042
