onset	duration	sample	value	gid
105.0966796875	n/a	107620	1121	0
105.0966796875	n/a	107620	1241	0
105.0966796875	n/a	107620	1311	1082
117.5888671875	n/a	120412	2110	0
118.173828125	n/a	121011	1312	1082
118.173828125	n/a	121011	1311	1240
125.6650390625	n/a	128682	2110	0
126.2373046875	n/a	129268	1312	1240
126.2373046875	n/a	129268	1311	1080
134.2001953125	n/a	137422	2110	0
134.7705078125	n/a	138006	1312	1080
134.7705078125	n/a	138006	1311	1145
141.240234375	n/a	144631	2110	0
141.8134765625	n/a	145218	1312	1145
141.8134765625	n/a	145218	1311	1206
148.17578125	n/a	151733	2110	0
148.7509765625	n/a	152322	1312	1206
148.7509765625	n/a	152322	1311	1157
156.1357421875	n/a	159884	2110	0
156.708984375	n/a	160471	1312	1157
156.708984375	n/a	160471	1311	1111
163.2158203125	n/a	167134	2110	0
163.7919921875	n/a	167724	1312	1111
163.7919921875	n/a	167724	1311	1074
169.90625	n/a	173985	2110	0
170.4814453125	n/a	174574	1312	1074
170.4814453125	n/a	174574	1311	1115
177.5849609375	n/a	181848	2110	0
178.1552734375	n/a	182432	1312	1115
178.1552734375	n/a	182432	1311	1148
187.3505859375	n/a	191848	2110	0
187.9228515625	n/a	192434	1312	1148
187.9228515625	n/a	192434	1311	1089
195.24609375	n/a	199933	2110	0
195.818359375	n/a	200519	1312	1089
195.818359375	n/a	200519	1361	4048
202.1259765625	n/a	206978	2110	0
225.0908203125	n/a	230494	1362	4048
225.0908203125	n/a	230494	1311	1112
231.5087890625	n/a	237066	2110	0
232.0830078125	n/a	237654	1312	1112
232.0830078125	n/a	237654	1311	1226
236.98046875	n/a	242669	2110	0
237.5556640625	n/a	243258	1312	1226
237.5556640625	n/a	243258	1311	1000
242.4443359375	n/a	248264	2110	0
243.015625	n/a	248849	1312	1000
243.015625	n/a	248849	1311	1084
248.2607421875	n/a	254220	2110	0
248.8310546875	n/a	254804	1312	1084
248.8310546875	n/a	254804	1311	1122
253.404296875	n/a	259487	2110	0
253.9794921875	n/a	260076	1312	1122
253.9794921875	n/a	260076	1311	1241
258.4833984375	n/a	264688	2110	0
259.05078125	n/a	265269	1312	1241
259.05078125	n/a	265269	1311	1009
264.142578125	n/a	270483	2110	0
264.7138671875	n/a	271068	1312	1009
264.7138671875	n/a	271068	1311	1120
270.427734375	n/a	276919	2110	0
270.9970703125	n/a	277502	1312	1120
270.9970703125	n/a	277502	1331	4023
275.7294921875	n/a	282348	2110	0
276.3037109375	n/a	282936	1332	4023
276.3037109375	n/a	282936	1311	1203
288.9951171875	n/a	295932	2110	0
289.56640625	n/a	296517	1312	1203
289.56640625	n/a	296517	1361	4053
