onset	duration	sample	value	gid
24.80859375	n/a	25405	1121	0
24.80859375	n/a	25405	1231	0
24.80859375	n/a	25405	1311	1218
37.4453125	n/a	38345	2110	0
38.02734375	n/a	38941	1312	1218
38.02734375	n/a	38941	1311	1065
47.4970703125	n/a	48638	2110	0
87.806640625	n/a	89915	1312	1065
87.806640625	n/a	89915	1321	4003
96.1748046875	n/a	98484	2120	0
111.7919921875	n/a	114476	1322	4003
111.7919921875	n/a	114476	1311	1132
119.9423828125	n/a	122822	2110	0
124.79296875	n/a	127789	1312	1132
124.79296875	n/a	127789	1311	1220
133.021484375	n/a	136215	2110	0
133.5927734375	n/a	136800	1312	1220
133.5927734375	n/a	136800	1331	4025
141.5732421875	n/a	144972	2120	0
145.0810546875	n/a	148564	1332	4025
145.0810546875	n/a	148564	1311	1247
153.5244140625	n/a	157210	2110	0
154.0966796875	n/a	157796	1312	1247
154.0966796875	n/a	157796	1311	1137
162.97265625	n/a	166885	2110	0
169.8330078125	n/a	173910	1312	1137
169.8330078125	n/a	173910	1311	1246
177.0517578125	n/a	181302	2110	0
177.6240234375	n/a	181888	1312	1246
177.6240234375	n/a	181888	1311	1129
184.2353515625	n/a	188658	2110	0
184.8056640625	n/a	189242	1312	1129
184.8056640625	n/a	189242	1321	4012
190.3154296875	n/a	194884	2120	0
192.92578125	n/a	197557	1322	4012
192.92578125	n/a	197557	1311	1069
198.146484375	n/a	202903	2110	0
198.7236328125	n/a	203494	1312	1069
198.7236328125	n/a	203494	1351	4049
207.7412109375	n/a	212728	2120	0
210.2734375	n/a	215321	1352	4049
210.2734375	n/a	215321	1311	1090
213.5146484375	n/a	218640	2110	0
214.0830078125	n/a	219222	1312	1090
214.0830078125	n/a	219222	1311	1223
222.1240234375	n/a	227456	2110	0
222.7001953125	n/a	228046	1312	1223
222.7001953125	n/a	228046	1311	1150
227.755859375	n/a	233223	2110	0
228.328125	n/a	233809	1312	1150
228.328125	n/a	233809	1311	1104
233.3056640625	n/a	238906	2110	0
233.87890625	n/a	239493	1312	1104
233.87890625	n/a	239493	1311	1213
237.77734375	n/a	243485	2110	0
238.3466796875	n/a	244068	1312	1213
238.3466796875	n/a	244068	1311	1184
242.4482421875	n/a	248268	2110	0
243.0205078125	n/a	248854	1312	1184
243.0205078125	n/a	248854	1311	1045
248.5048828125	n/a	254470	2110	0
249.0751953125	n/a	255054	1312	1045
249.0751953125	n/a	255054	1311	1125
255.9765625	n/a	262121	2110	0
256.5498046875	n/a	262708	1312	1125
256.5498046875	n/a	262708	1311	1243
263.69140625	n/a	270021	2110	0
264.265625	n/a	270609	1312	1243
264.265625	n/a	270609	1311	1153
272.7841796875	n/a	279332	2110	0
273.353515625	n/a	279915	1312	1153
273.353515625	n/a	279915	1311	1164
277.4189453125	n/a	284078	2110	0
277.9951171875	n/a	284668	1312	1164
277.9951171875	n/a	284668	1311	1070
283.1279296875	n/a	289924	2110	0
283.701171875	n/a	290511	1312	1070
283.701171875	n/a	290511	1311	1156
288.4599609375	n/a	295384	2110	0
289.0302734375	n/a	295968	1312	1156
289.0302734375	n/a	295968	1311	1031
293.943359375	n/a	300999	2110	0
294.5166015625	n/a	301586	1312	1031
294.5166015625	n/a	301586	1311	1157
299.294921875	n/a	306479	2120	0
303.5810546875	n/a	310868	1312	1157
303.5810546875	n/a	310868	1311	1236
308.20703125	n/a	315605	2110	0
308.775390625	n/a	316187	1312	1236
308.775390625	n/a	316187	1351	4052
312.638671875	n/a	320143	2120	0
314.98828125	n/a	322549	1352	4052
314.98828125	n/a	322549	1331	4023
320.3662109375	n/a	328056	2120	0
323.3427734375	n/a	331104	1332	4023
323.3427734375	n/a	331104	1232	0
367.560546875	n/a	376383	1221	0
367.560546875	n/a	376383	1311	1202
373.1083984375	n/a	382064	2110	0
390.5361328125	n/a	399910	1312	1202
390.5361328125	n/a	399910	1311	1158
395.53125	n/a	405025	2110	0
396.35546875	n/a	405869	1312	1158
396.35546875	n/a	405869	1311	1189
401.5068359375	n/a	411144	2110	0
407.3603515625	n/a	417138	1312	1189
407.3603515625	n/a	417138	1311	1082
412.2431640625	n/a	422138	2110	0
414.5771484375	n/a	424528	1312	1082
414.5771484375	n/a	424528	1311	1192
420.826171875	n/a	430927	2110	0
421.4013671875	n/a	431516	1312	1192
421.4013671875	n/a	431516	1311	1183
425.1787109375	n/a	435384	2110	0
447.3818359375	n/a	458120	1312	1183
447.3818359375	n/a	458120	1311	1025
452.6572265625	n/a	463522	2110	0
470.5859375	n/a	481881	1312	1025
470.5859375	n/a	481881	1311	1034
475.81640625	n/a	487237	2110	0
484.4365234375	n/a	496064	1312	1034
484.4365234375	n/a	496064	1311	1118
490.015625	n/a	501777	2110	0
491.345703125	n/a	503139	1312	1118
491.345703125	n/a	503139	1311	1216
495.255859375	n/a	507143	2110	0
495.8310546875	n/a	507732	1312	1216
495.8310546875	n/a	507732	1311	1061
500.6796875	n/a	512697	2110	0
510.560546875	n/a	522815	1312	1061
510.560546875	n/a	522815	1311	1075
514.6552734375	n/a	527008	2110	0
535.3486328125	n/a	548198	1312	1075
535.3486328125	n/a	548198	1311	1005
540.9736328125	n/a	553958	2110	0
544.56640625	n/a	557637	1312	1005
544.56640625	n/a	557637	1311	1066
548.2373046875	n/a	561396	2110	0
548.80859375	n/a	561981	1312	1066
548.80859375	n/a	561981	1321	4001
551.421875	n/a	564657	2120	0
553.4892578125	n/a	566774	1322	4001
553.4892578125	n/a	566774	1311	1093
558.1572265625	n/a	571554	2110	0
558.73046875	n/a	572141	1312	1093
558.73046875	n/a	572141	1311	1077
563.037109375	n/a	576551	2110	0
563.6064453125	n/a	577134	1312	1077
563.6064453125	n/a	577134	1311	1199
572.0927734375	n/a	585824	2110	0
572.6650390625	n/a	586410	1312	1199
572.6650390625	n/a	586410	1361	4033
581.4365234375	n/a	595392	2120	0
583.9697265625	n/a	597986	1362	4033
583.9697265625	n/a	597986	1311	1068
587.908203125	n/a	602019	2110	0
588.478515625	n/a	602603	1312	1068
588.478515625	n/a	602603	1311	1056
596.4755859375	n/a	610792	2110	0
597.05078125	n/a	611381	1312	1056
597.05078125	n/a	611381	1311	1181
602.5556640625	n/a	617018	2120	0
604.927734375	n/a	619447	1312	1181
604.927734375	n/a	619447	1311	1140
613.4755859375	n/a	628200	2110	0
614.0478515625	n/a	628786	1312	1140
614.0478515625	n/a	628786	1311	1177
619.107421875	n/a	633967	2110	0
