onset	duration	sample	value	gid
66.908203125	n/a	68515	1121	0
66.908203125	n/a	68515	1251	0
66.908203125	n/a	68515	1311	1018
74.99609375	n/a	76797	2110	0
97.9560546875	n/a	100308	1312	1018
97.9560546875	n/a	100308	1311	1249
105.533203125	n/a	108067	2110	0
106.1044921875	n/a	108652	1312	1249
106.1044921875	n/a	108652	1311	1247
110.0615234375	n/a	112704	2110	0
110.6298828125	n/a	113286	1312	1247
110.6298828125	n/a	113286	1311	1210
126.404296875	n/a	129439	2120	0
135.4404296875	n/a	138692	1312	1210
135.4404296875	n/a	138692	1311	1082
150.3154296875	n/a	153924	2110	0
150.8876953125	n/a	154510	1312	1082
150.8876953125	n/a	154510	1311	1215
156.2109375	n/a	159961	2110	0
156.783203125	n/a	160547	1312	1215
156.783203125	n/a	160547	1311	1156
160.619140625	n/a	164475	2110	0
161.1865234375	n/a	165056	1312	1156
161.1865234375	n/a	165056	1311	1099
164.9306640625	n/a	168890	2110	0
165.5029296875	n/a	169476	1312	1099
165.5029296875	n/a	169476	1321	4009
167.2744140625	n/a	171290	2120	0
172.3720703125	n/a	176510	1322	4009
172.3720703125	n/a	176510	1311	1255
175.970703125	n/a	180195	2110	0
176.5390625	n/a	180777	1312	1255
176.5390625	n/a	180777	1311	1055
181.1943359375	n/a	185544	2110	0
181.7685546875	n/a	186132	1312	1055
181.7685546875	n/a	186132	1311	1004
185.234375	n/a	189681	2110	0
185.802734375	n/a	190263	1312	1004
185.802734375	n/a	190263	1311	1238
189.314453125	n/a	193859	2110	0
189.884765625	n/a	194443	1312	1238
189.884765625	n/a	194443	1311	1187
192.908203125	n/a	197539	2110	0
193.4794921875	n/a	198124	1312	1187
193.4794921875	n/a	198124	1311	1104
196.2333984375	n/a	200944	2110	0
196.8037109375	n/a	201528	1312	1104
196.8037109375	n/a	201528	1311	1175
200.2099609375	n/a	205016	2110	0
200.779296875	n/a	205599	1312	1175
200.779296875	n/a	205599	1311	1227
205.7451171875	n/a	210684	2110	0
213.107421875	n/a	218223	1312	1227
213.107421875	n/a	218223	1311	1101
217.4326171875	n/a	222652	2110	0
218.0048828125	n/a	223238	1312	1101
218.0048828125	n/a	223238	1311	1115
220.8251953125	n/a	226126	2110	0
221.3935546875	n/a	226708	1312	1115
221.3935546875	n/a	226708	1311	1218
225.615234375	n/a	231031	2110	0
226.18359375	n/a	231613	1312	1218
226.18359375	n/a	231613	1311	1049
228.5126953125	n/a	233998	2110	0
229.0830078125	n/a	234582	1312	1049
229.0830078125	n/a	234582	1311	1036
231.2880859375	n/a	236840	2110	0
231.857421875	n/a	237423	1312	1036
231.857421875	n/a	237423	1311	1233
234.087890625	n/a	239707	2110	0
234.6591796875	n/a	240292	1312	1233
234.6591796875	n/a	240292	1311	1171
236.919921875	n/a	242607	2110	0
237.4892578125	n/a	243190	1312	1171
237.4892578125	n/a	243190	1311	1246
241.087890625	n/a	246875	2110	0
241.658203125	n/a	247459	1312	1246
241.658203125	n/a	247459	1311	1121
244.328125	n/a	250193	2110	0
244.8955078125	n/a	250774	1312	1121
244.8955078125	n/a	250774	1311	1095
246.9462890625	n/a	252874	2110	0
247.515625	n/a	253457	1312	1095
247.515625	n/a	253457	1311	1243
250.2314453125	n/a	256238	2110	0
250.80078125	n/a	256821	1312	1243
250.80078125	n/a	256821	1311	1069
254.19140625	n/a	260293	2110	0
254.759765625	n/a	260875	1312	1069
254.759765625	n/a	260875	1311	1124
257.8818359375	n/a	264072	2110	0
258.4541015625	n/a	264658	1312	1124
258.4541015625	n/a	264658	1331	4034
263.3271484375	n/a	269648	2110	0
263.900390625	n/a	270235	1332	4034
263.900390625	n/a	270235	1311	1086
269.6953125	n/a	276169	2110	0
270.2685546875	n/a	276756	1312	1086
270.2685546875	n/a	276756	1311	1076
274.1826171875	n/a	280764	2110	0
274.75390625	n/a	281349	1312	1076
274.75390625	n/a	281349	1311	1224
278.3505859375	n/a	285032	2110	0
278.9189453125	n/a	285614	1312	1224
278.9189453125	n/a	285614	1311	1044
283.470703125	n/a	290275	2110	0
284.0419921875	n/a	290860	1312	1044
284.0419921875	n/a	290860	1311	1151
289.7744140625	n/a	296730	2110	0
290.3466796875	n/a	297316	1312	1151
290.3466796875	n/a	297316	1361	4046
292.2216796875	n/a	299236	2120	0
295.1806640625	n/a	302266	1362	4046
295.1806640625	n/a	302266	1311	1017
299.7177734375	n/a	306912	2110	0
300.2880859375	n/a	307496	1312	1017
300.2880859375	n/a	307496	1311	1130
305.58984375	n/a	312925	2110	0
311.9443359375	n/a	319432	1312	1130
311.9443359375	n/a	319432	1311	1248
317.1416015625	n/a	324754	2110	0
317.7119140625	n/a	325338	1312	1248
317.7119140625	n/a	325338	1311	1005
321.8310546875	n/a	329556	2110	0
322.4033203125	n/a	330142	1312	1005
322.4033203125	n/a	330142	1311	1157
325.365234375	n/a	333175	2110	0
325.9345703125	n/a	333758	1312	1157
325.9345703125	n/a	333758	1311	1214
329.9169921875	n/a	337836	2110	0
330.4892578125	n/a	338422	1312	1214
330.4892578125	n/a	338422	1311	1239
334.654296875	n/a	342687	2110	0
361.703125	n/a	370385	1312	1239
361.703125	n/a	370385	1252	0
381.130859375	n/a	390279	1221	0
381.130859375	n/a	390279	1341	4042
389.1064453125	n/a	398446	2120	0
394.3759765625	n/a	403842	1342	4042
394.3759765625	n/a	403842	1311	1063
399.7138671875	n/a	409308	2110	0
419.1484375	n/a	429209	1312	1063
419.1484375	n/a	429209	1331	4025
431.888671875	n/a	442255	2120	0
473.232421875	n/a	484591	1332	4025
473.232421875	n/a	484591	1311	1209
477.3291015625	n/a	488786	2110	0
478.1552734375	n/a	489632	1312	1209
478.1552734375	n/a	489632	1311	1046
482.8544921875	n/a	494444	2110	0
483.4267578125	n/a	495030	1312	1046
483.4267578125	n/a	495030	1311	1189
488.7109375	n/a	500441	2110	0
489.283203125	n/a	501027	1312	1189
489.283203125	n/a	501027	1331	4031
494.5263671875	n/a	506396	2120	0
501.2109375	n/a	513241	1332	4031
501.2109375	n/a	513241	1311	1123
507.2236328125	n/a	519398	2110	0
507.794921875	n/a	519983	1312	1123
507.794921875	n/a	519983	1311	1007
511.4619140625	n/a	523738	2110	0
512.0322265625	n/a	524322	1312	1007
512.0322265625	n/a	524322	1311	1113
515.26171875	n/a	527629	2110	0
515.83203125	n/a	528213	1312	1113
515.83203125	n/a	528213	1331	4035
529.8955078125	n/a	542614	2120	0
534.0068359375	n/a	546824	1332	4035
534.0068359375	n/a	546824	1311	1180
537.1962890625	n/a	550090	2110	0
537.765625	n/a	550673	1312	1180
537.765625	n/a	550673	1361	4044
539.076171875	n/a	552015	2120	0
542.556640625	n/a	555579	1362	4044
542.556640625	n/a	555579	1311	1074
546.1162109375	n/a	559224	2110	0
546.68359375	n/a	559805	1312	1074
546.68359375	n/a	559805	1311	1141
550.3798828125	n/a	563590	2110	0
550.94921875	n/a	564173	1312	1141
550.94921875	n/a	564173	1311	1229
553.6044921875	n/a	566892	2110	0
554.1708984375	n/a	567472	1312	1229
554.1708984375	n/a	567472	1311	1043
557.3564453125	n/a	570734	2110	0
561.1982421875	n/a	574668	1312	1043
561.1982421875	n/a	574668	1321	4018
563.66015625	n/a	577189	2120	0
579.2314453125	n/a	593134	1322	4018
579.2314453125	n/a	593134	1311	1088
582.72265625	n/a	596709	2110	0
583.29296875	n/a	597293	1312	1088
583.29296875	n/a	597293	1311	1019
587.357421875	n/a	601455	2110	0
587.9326171875	n/a	602044	1312	1019
587.9326171875	n/a	602044	1311	1027
591.6982421875	n/a	605900	2110	0
592.2685546875	n/a	606484	1312	1027
592.2685546875	n/a	606484	1361	4045
593.3173828125	n/a	607558	2120	0
595.5966796875	n/a	609892	1362	4045
595.5966796875	n/a	609892	1351	4049
606.25	n/a	620801	2120	0
610.0224609375	n/a	624664	1352	4049
610.0224609375	n/a	624664	1311	1193
613.5537109375	n/a	628280	2110	0
614.1220703125	n/a	628862	1312	1193
614.1220703125	n/a	628862	1311	1149
617.1318359375	n/a	631944	2110	0
617.705078125	n/a	632531	1312	1149
617.705078125	n/a	632531	1311	1031
620.76171875	n/a	635661	2110	0
621.3330078125	n/a	636246	1312	1031
621.3330078125	n/a	636246	1341	4041
624.2099609375	n/a	639192	2120	0
628.5986328125	n/a	643686	1342	4041
628.5986328125	n/a	643686	1351	4051
634.12109375	n/a	649341	2110	0
634.69140625	n/a	649925	1352	4051
634.69140625	n/a	649925	1311	1119
643.755859375	n/a	659207	2110	0
644.3310546875	n/a	659796	1312	1119
644.3310546875	n/a	659796	1361	4001
645.474609375	n/a	660967	2120	0
652.388671875	n/a	668047	1362	4001
652.388671875	n/a	668047	1311	1097
658.6083984375	n/a	674416	2110	0
659.1826171875	n/a	675004	1312	1097
659.1826171875	n/a	675004	1311	1144
662.1201171875	n/a	678012	2110	0
662.6904296875	n/a	678596	1312	1144
662.6904296875	n/a	678596	1321	4000
663.919921875	n/a	679855	2120	0
666.138671875	n/a	682127	1322	4000
666.138671875	n/a	682127	1311	1057
670.146484375	n/a	686231	2110	0
670.822265625	n/a	686923	1312	1057
670.822265625	n/a	686923	1222	0
677.2841796875	n/a	693540	1211	0
677.2841796875	n/a	693540	1311	1219
681.103515625	n/a	697451	2110	0
681.6708984375	n/a	698032	1312	1219
681.6708984375	n/a	698032	1311	1062
684.697265625	n/a	701131	2110	0
685.2724609375	n/a	701720	1312	1062
685.2724609375	n/a	701720	1311	1107
687.791015625	n/a	704299	2110	0
688.36328125	n/a	704885	1312	1107
688.36328125	n/a	704885	1311	1167
691.44921875	n/a	708045	2110	0
