onset	duration	sample	value	gid
21.75	n/a	22273	1121	0
21.75	n/a	22273	1211	0
21.75	n/a	22273	1361	4044
24.8427734375	n/a	25440	2110	0
26.9794921875	n/a	27628	1362	4044
26.9794921875	n/a	27628	1321	4007
30.0634765625	n/a	30786	2120	0
37.5107421875	n/a	38412	1322	4007
37.5107421875	n/a	38412	1311	1043
44.66796875	n/a	45741	2110	0
85.02734375	n/a	87069	1312	1043
85.02734375	n/a	87069	1311	1157
91.25	n/a	93441	2110	0
97.904296875	n/a	100255	1312	1157
97.904296875	n/a	100255	1311	1092
104.10546875	n/a	106605	2110	0
104.7216796875	n/a	107236	1312	1092
104.7216796875	n/a	107236	1311	1196
111.3935546875	n/a	114068	2110	0
112.005859375	n/a	114695	1312	1196
112.005859375	n/a	114695	1321	4010
118.345703125	n/a	121187	2120	0
120.7216796875	n/a	123620	1322	4010
120.7216796875	n/a	123620	1311	1142
126.4892578125	n/a	129526	2110	0
127.859375	n/a	130929	1312	1142
127.859375	n/a	130929	1311	1174
132.7529296875	n/a	135940	2110	0
170.8828125	n/a	174985	1312	1174
170.8828125	n/a	174985	1311	1034
177.953125	n/a	182225	2110	0
180.841796875	n/a	185183	1312	1034
180.841796875	n/a	185183	1311	1164
186.0068359375	n/a	190472	2110	0
186.6015625	n/a	191081	1312	1164
186.6015625	n/a	191081	1311	1177
191.21484375	n/a	195805	2110	0
191.81640625	n/a	196421	1312	1177
191.81640625	n/a	196421	1311	1076
195.0302734375	n/a	199712	2110	0
195.681640625	n/a	200379	1312	1076
195.681640625	n/a	200379	1311	1134
199.2939453125	n/a	204078	2110	0
199.8994140625	n/a	204698	1312	1134
199.8994140625	n/a	204698	1311	1248
203.2138671875	n/a	208092	2110	0
203.802734375	n/a	208695	1312	1248
203.802734375	n/a	208695	1311	1167
207.09375	n/a	212065	2110	0
207.7001953125	n/a	212686	1312	1167
207.7001953125	n/a	212686	1311	1093
212.3740234375	n/a	217472	2110	0
212.9716796875	n/a	218084	1312	1093
212.9716796875	n/a	218084	1311	1198
216.5419921875	n/a	221740	2110	0
217.1396484375	n/a	222352	1312	1198
217.1396484375	n/a	222352	1311	1139
221.005859375	n/a	226311	2110	0
221.5947265625	n/a	226914	1312	1139
221.5947265625	n/a	226914	1311	1089
225.029296875	n/a	230431	2110	0
225.623046875	n/a	231039	1312	1089
225.623046875	n/a	231039	1311	1058
230.2373046875	n/a	235764	2110	0
230.8388671875	n/a	236380	1312	1058
230.8388671875	n/a	236380	1311	1163
234.5244140625	n/a	240154	2110	0
235.1123046875	n/a	240756	1312	1163
235.1123046875	n/a	240756	1311	1030
239.373046875	n/a	245119	2110	0
239.9873046875	n/a	245748	1312	1030
239.9873046875	n/a	245748	1311	1031
243.3330078125	n/a	249174	2110	0
243.9248046875	n/a	249780	1312	1031
243.9248046875	n/a	249780	1311	1065
246.1083984375	n/a	252016	2110	0
246.69921875	n/a	252621	1312	1065
246.69921875	n/a	252621	1311	1175
250.1328125	n/a	256137	2110	0
250.736328125	n/a	256755	1312	1175
250.736328125	n/a	256755	1311	1141
253.66015625	n/a	259749	2110	0
254.259765625	n/a	260363	1312	1141
254.259765625	n/a	260363	1311	1154
256.5400390625	n/a	262698	2110	0
257.12890625	n/a	263301	1312	1154
257.12890625	n/a	263301	1311	1216
259.01171875	n/a	265229	2110	0
259.5986328125	n/a	265830	1312	1216
259.5986328125	n/a	265830	1311	1036
261.84375	n/a	268129	2110	0
262.4443359375	n/a	268744	1312	1036
262.4443359375	n/a	268744	1311	1124
265.5185546875	n/a	271892	2110	0
266.115234375	n/a	272503	1312	1124
266.115234375	n/a	272503	1311	1160
268.2353515625	n/a	274674	2110	0
268.8388671875	n/a	275292	1312	1160
268.8388671875	n/a	275292	1311	1001
270.3154296875	n/a	276804	2110	0
270.904296875	n/a	277407	1312	1001
270.904296875	n/a	277407	1311	1250
273.33984375	n/a	279901	2110	0
273.9619140625	n/a	280538	1312	1250
273.9619140625	n/a	280538	1311	1147
277.1708984375	n/a	283824	2110	0
277.7802734375	n/a	284448	1312	1147
277.7802734375	n/a	284448	1311	1073
280.1708984375	n/a	286896	2110	0
280.7548828125	n/a	287494	1312	1073
280.7548828125	n/a	287494	1311	1014
283.5234375	n/a	290329	2110	0
284.130859375	n/a	290951	1312	1014
284.130859375	n/a	290951	1311	1045
286.9072265625	n/a	293794	2110	0
287.5185546875	n/a	294420	1312	1045
287.5185546875	n/a	294420	1311	1202
290.2587890625	n/a	297226	2110	0
290.8671875	n/a	297849	1312	1202
290.8671875	n/a	297849	1311	1102
294.8505859375	n/a	301928	2110	0
295.44921875	n/a	302541	1312	1102
295.44921875	n/a	302541	1311	1151
298.4609375	n/a	305625	2110	0
299.0595703125	n/a	306238	1312	1151
299.0595703125	n/a	306238	1311	1095
302.2744140625	n/a	309530	2110	0
302.849609375	n/a	310119	1312	1095
302.849609375	n/a	310119	1311	1078
306.642578125	n/a	314003	2110	0
307.2314453125	n/a	314606	1312	1078
307.2314453125	n/a	314606	1311	1144
310.0341796875	n/a	317476	2110	0
310.6357421875	n/a	318092	1312	1144
310.6357421875	n/a	318092	1311	1211
313.2578125	n/a	320777	2110	0
313.8486328125	n/a	321382	1312	1211
313.8486328125	n/a	321382	1311	1063
318.177734375	n/a	325815	2110	0
318.7646484375	n/a	326416	1312	1063
318.7646484375	n/a	326416	1311	1222
324.6416015625	n/a	332434	2110	0
325.2919921875	n/a	333100	1312	1222
325.2919921875	n/a	333100	1212	0
394.189453125	n/a	403651	1251	0
