onset	duration	sample	value	gid
18.259765625	n/a	18699	1121	0
18.259765625	n/a	18699	1251	0
18.259765625	n/a	18699	1311	1008
27.2509765625	n/a	27906	2110	0
77.3974609375	n/a	79256	1312	1008
77.3974609375	n/a	79256	1331	4036
84.8447265625	n/a	86882	2120	0
90.4541015625	n/a	92626	1332	4036
90.4541015625	n/a	92626	1311	1178
100.3720703125	n/a	102782	2110	0
101.4736328125	n/a	103910	1312	1178
101.4736328125	n/a	103910	1331	4032
108.67578125	n/a	111285	2120	0
111.1552734375	n/a	113824	1332	4032
111.1552734375	n/a	113824	1311	1214
119.0673828125	n/a	121926	2110	0
119.638671875	n/a	122511	1312	1214
119.638671875	n/a	122511	1311	1023
126.1875	n/a	129217	2110	0
126.7626953125	n/a	129806	1312	1023
126.7626953125	n/a	129806	1321	4017
131.9873046875	n/a	135156	2120	0
139.2021484375	n/a	142544	1322	4017
139.2021484375	n/a	142544	1311	1180
145.2119140625	n/a	148698	2110	0
145.78515625	n/a	149285	1312	1180
145.78515625	n/a	149285	1311	1134
150.8603515625	n/a	154482	2110	0
151.4326171875	n/a	155068	1312	1134
151.4326171875	n/a	155068	1311	1228
157.3701171875	n/a	161148	2120	0
160.5322265625	n/a	164386	1312	1228
160.5322265625	n/a	164386	1311	1136
166.857421875	n/a	170863	2110	0
167.431640625	n/a	171451	1312	1136
167.431640625	n/a	171451	1311	1123
172.4091796875	n/a	176548	2110	0
172.9775390625	n/a	177130	1312	1123
172.9775390625	n/a	177130	1311	1064
177.6728515625	n/a	181938	2110	0
178.2470703125	n/a	182526	1312	1064
178.2470703125	n/a	182526	1311	1238
184.712890625	n/a	189147	2110	0
185.28125	n/a	189729	1312	1238
185.28125	n/a	189729	1341	4039
189.0810546875	n/a	193620	2120	0
192.3271484375	n/a	196944	1342	4039
192.3271484375	n/a	196944	1321	4002
197.4482421875	n/a	202188	2120	0
199.5478515625	n/a	204338	1322	4002
199.5478515625	n/a	204338	1361	4048
206.3681640625	n/a	211322	2110	0
206.9384765625	n/a	211906	1362	4048
206.9384765625	n/a	211906	1331	4025
211.5283203125	n/a	216606	2110	0
212.1005859375	n/a	217192	1332	4025
212.1005859375	n/a	217192	1311	1056
217.8154296875	n/a	223044	2110	0
218.38671875	n/a	223629	1312	1056
218.38671875	n/a	223629	1311	1010
222.83984375	n/a	228189	2110	0
223.41015625	n/a	228773	1312	1010
223.41015625	n/a	228773	1361	4049
231.958984375	n/a	237527	2110	0
232.53125	n/a	238113	1362	4049
232.53125	n/a	238113	1311	1153
237.87890625	n/a	243589	2110	0
238.451171875	n/a	244175	1312	1153
238.451171875	n/a	244175	1311	1202
243.142578125	n/a	248979	2110	0
