onset	duration	sample	value	gid
41.0859375	n/a	42073	1121	0
41.0859375	n/a	42073	1221	0
41.0859375	n/a	42073	1321	4002
47.6435546875	n/a	48788	2120	0
66.2529296875	n/a	67844	1322	4002
66.2529296875	n/a	67844	1311	1090
84.0625	n/a	86081	2110	0
89.2041015625	n/a	91346	1312	1090
89.2041015625	n/a	91346	1311	1213
108.4072265625	n/a	111010	2110	0
119.0771484375	n/a	121936	1312	1213
119.0771484375	n/a	121936	1321	4007
125.732421875	n/a	128751	2120	0
130.0205078125	n/a	133142	1322	4007
130.0205078125	n/a	133142	1311	1200
148.4677734375	n/a	152032	2110	0
149.0546875	n/a	152633	1312	1200
149.0546875	n/a	152633	1311	1194
163.931640625	n/a	167867	2110	0
164.5146484375	n/a	168464	1312	1194
164.5146484375	n/a	168464	1311	1125
177.0107421875	n/a	181260	2110	0
177.603515625	n/a	181867	1312	1125
177.603515625	n/a	181867	1311	1246
192.9541015625	n/a	197586	2110	0
193.5439453125	n/a	198190	1312	1246
193.5439453125	n/a	198190	1311	1081
211.45703125	n/a	216533	2120	0
216.6044921875	n/a	221804	1312	1081
216.6044921875	n/a	221804	1351	4053
225.48046875	n/a	230893	2120	0
229.14453125	n/a	234645	1352	4053
229.14453125	n/a	234645	1311	1136
237.8720703125	n/a	243582	2110	0
238.4619140625	n/a	244186	1312	1136
238.4619140625	n/a	244186	1311	1220
258.4638671875	n/a	264668	2120	0
259.05078125	n/a	265269	1312	1220
259.05078125	n/a	265269	1321	4010
265.783203125	n/a	272163	2120	0
270.474609375	n/a	276967	1322	4010
270.474609375	n/a	276967	1311	1013
283.689453125	n/a	290499	2110	0
284.28515625	n/a	291109	1312	1013
284.28515625	n/a	291109	1361	4017
294.646484375	n/a	301719	2120	0
299.8330078125	n/a	307030	1362	4017
299.8330078125	n/a	307030	1311	1071
316.27734375	n/a	323869	2110	0
316.8701171875	n/a	324476	1312	1071
316.8701171875	n/a	324476	1311	1060
333.7490234375	n/a	341760	2110	0
334.3505859375	n/a	342376	1312	1060
334.3505859375	n/a	342376	1222	0
351.4990234375	n/a	359936	1251	0
351.4990234375	n/a	359936	1311	1006
365.830078125	n/a	374611	2110	0
366.419921875	n/a	375215	1312	1006
