onset	duration	sample	value	gid
42.0234375	n/a	43033	1121	0
42.0234375	n/a	43033	1221	0
42.0234375	n/a	43033	1311	1148
48.5068359375	n/a	49672	2110	0
80.0185546875	n/a	81940	1312	1148
80.0185546875	n/a	81940	1311	1032
87.8857421875	n/a	89996	2110	0
88.4521484375	n/a	90576	1312	1032
88.4521484375	n/a	90576	1311	1202
95.7431640625	n/a	98042	2110	0
96.3134765625	n/a	98626	1312	1202
96.3134765625	n/a	98626	1311	1234
102.6611328125	n/a	105126	2110	0
103.2314453125	n/a	105710	1312	1234
103.2314453125	n/a	105710	1311	1048
110.7568359375	n/a	113416	2110	0
111.3251953125	n/a	113998	1312	1048
111.3251953125	n/a	113998	1361	4045
120.3349609375	n/a	123224	2110	0
120.90625	n/a	123809	1362	4045
120.90625	n/a	123809	1311	1124
131.0224609375	n/a	134168	2110	0
131.5986328125	n/a	134758	1312	1124
131.5986328125	n/a	134758	1341	4043
140.2431640625	n/a	143610	2120	0
147.591796875	n/a	151135	1342	4043
147.591796875	n/a	151135	1311	1209
155.05859375	n/a	158781	2110	0
155.634765625	n/a	159371	1312	1209
155.634765625	n/a	159371	1311	1112
162.0048828125	n/a	165894	2110	0
162.5771484375	n/a	166480	1312	1112
162.5771484375	n/a	166480	1311	1126
167.9384765625	n/a	171970	2110	0
168.5087890625	n/a	172554	1312	1126
168.5087890625	n/a	172554	1311	1173
186.9775390625	n/a	191466	2110	0
187.5478515625	n/a	192050	1312	1173
187.5478515625	n/a	192050	1311	1213
195.0576171875	n/a	199740	2110	0
195.6328125	n/a	200329	1312	1213
195.6328125	n/a	200329	1311	1226
205.1845703125	n/a	210110	2110	0
205.755859375	n/a	210695	1312	1226
205.755859375	n/a	210695	1311	1044
212.12109375	n/a	217213	2110	0
212.6943359375	n/a	217800	1312	1044
212.6943359375	n/a	217800	1311	1131
223.3203125	n/a	228681	2110	0
223.8916015625	n/a	229266	1312	1131
223.8916015625	n/a	229266	1311	1135
232.6875	n/a	238273	2110	0
233.2578125	n/a	238857	1312	1135
233.2578125	n/a	238857	1361	4048
240.7919921875	n/a	246572	2120	0
244.7705078125	n/a	250646	1362	4048
244.7705078125	n/a	250646	1311	1147
258.279296875	n/a	264479	2110	0
258.8525390625	n/a	265066	1312	1147
258.8525390625	n/a	265066	1311	1082
268.017578125	n/a	274451	2110	0
268.58984375	n/a	275037	1312	1082
268.58984375	n/a	275037	1311	1196
275.8564453125	n/a	282478	2110	0
276.4306640625	n/a	283066	1312	1196
276.4306640625	n/a	283066	1311	1015
284.814453125	n/a	291651	2110	0
285.3837890625	n/a	292234	1312	1015
285.3837890625	n/a	292234	1311	1177
300.27734375	n/a	307485	2110	0
300.849609375	n/a	308071	1312	1177
300.849609375	n/a	308071	1311	1176
309.6689453125	n/a	317102	2110	0
310.2412109375	n/a	317688	1312	1176
310.2412109375	n/a	317688	1331	4033
321.908203125	n/a	329635	2120	0
325.0380859375	n/a	332840	1332	4033
325.0380859375	n/a	332840	1222	0
347.314453125	n/a	355651	1211	0
347.314453125	n/a	355651	1311	1024
362.947265625	n/a	371659	2120	0
366.0478515625	n/a	374834	1312	1024
366.0478515625	n/a	374834	1311	1093
371.8271484375	n/a	380752	2110	0
395.2822265625	n/a	404770	1312	1093
395.2822265625	n/a	404770	1311	1057
400.8017578125	n/a	410422	2110	0
401.375	n/a	411009	1312	1057
401.375	n/a	411009	1311	1246
405.5	n/a	415233	2110	0
408.333984375	n/a	418135	1312	1246
408.333984375	n/a	418135	1311	1011
422.4755859375	n/a	432616	2110	0
423.048828125	n/a	433203	1312	1011
423.048828125	n/a	433203	1311	1122
433.0	n/a	443393	2110	0
433.57421875	n/a	443981	1312	1122
433.57421875	n/a	443981	1321	4014
437.919921875	n/a	448431	2120	0
441.0849609375	n/a	451672	1322	4014
441.0849609375	n/a	451672	1311	1100
452.08984375	n/a	462941	2110	0
452.662109375	n/a	463527	1312	1100
452.662109375	n/a	463527	1311	1087
460.0634765625	n/a	471106	2110	0
460.63671875	n/a	471693	1312	1087
460.63671875	n/a	471693	1311	1139
466.1650390625	n/a	477354	2110	0
466.7353515625	n/a	477938	1312	1139
466.7353515625	n/a	477938	1311	1194
472.0625	n/a	483393	2110	0
472.6376953125	n/a	483982	1312	1194
472.6376953125	n/a	483982	1311	1104
478.0439453125	n/a	489518	2110	0
478.61328125	n/a	490101	1312	1104
478.61328125	n/a	490101	1311	1191
483.3662109375	n/a	494968	2110	0
483.9453125	n/a	495561	1312	1191
483.9453125	n/a	495561	1311	1023
488.3505859375	n/a	500072	2110	0
488.919921875	n/a	500655	1312	1023
488.919921875	n/a	500655	1311	1115
493.822265625	n/a	505675	2110	0
494.396484375	n/a	506263	1312	1115
494.396484375	n/a	506263	1311	1060
499.021484375	n/a	510999	2110	0
499.59375	n/a	511585	1312	1060
499.59375	n/a	511585	1361	4044
505.888671875	n/a	518031	2110	0
506.4619140625	n/a	518618	1362	4044
506.4619140625	n/a	518618	1311	1179
514.869140625	n/a	527227	2110	0
515.443359375	n/a	527815	1312	1179
515.443359375	n/a	527815	1311	1069
522.869140625	n/a	535419	2110	0
523.4423828125	n/a	536006	1312	1069
523.4423828125	n/a	536006	1311	1074
530.6064453125	n/a	543342	2110	0
531.177734375	n/a	543927	1312	1074
531.177734375	n/a	543927	1321	4010
534.3427734375	n/a	547168	2120	0
536.5185546875	n/a	549396	1322	4010
536.5185546875	n/a	549396	1311	1203
541.8046875	n/a	554809	2110	0
542.37890625	n/a	555397	1312	1203
542.37890625	n/a	555397	1311	1000
547.01171875	n/a	560141	2110	0
547.5869140625	n/a	560730	1312	1000
547.5869140625	n/a	560730	1321	4004
551.2197265625	n/a	564450	2120	0
552.8291015625	n/a	566098	1322	4004
552.8291015625	n/a	566098	1321	4017
554.1796875	n/a	567481	2120	0
