onset	duration	sample	value	gid
28.0693359375	n/a	28744	1121	0
28.0693359375	n/a	28744	1251	0
28.0693359375	n/a	28744	1331	4028
37.14453125	n/a	38037	2110	0
37.7607421875	n/a	38668	1332	4028
37.7607421875	n/a	38668	1311	1033
45.1376953125	n/a	46222	2110	0
45.7333984375	n/a	46832	1312	1033
45.7333984375	n/a	46832	1311	1178
51.5693359375	n/a	52808	2110	0
52.1962890625	n/a	53450	1312	1178
52.1962890625	n/a	53450	1311	1104
57.7294921875	n/a	59116	2110	0
58.341796875	n/a	59743	1312	1104
58.341796875	n/a	59743	1311	1124
65.5712890625	n/a	67146	2110	0
66.2109375	n/a	67801	1312	1124
66.2109375	n/a	67801	1341	4043
73.6328125	n/a	75401	2110	0
74.2236328125	n/a	76006	1342	4043
74.2236328125	n/a	76006	1311	1045
81.8564453125	n/a	83822	2110	0
82.4365234375	n/a	84416	1312	1045
82.4365234375	n/a	84416	1311	1115
96.0712890625	n/a	98378	2120	0
101.3369140625	n/a	103770	1312	1115
101.3369140625	n/a	103770	1311	1201
107.8955078125	n/a	110486	2110	0
108.4892578125	n/a	111094	1312	1201
108.4892578125	n/a	111094	1311	1180
115.9345703125	n/a	118718	2110	0
119.330078125	n/a	122195	1312	1180
119.330078125	n/a	122195	1311	1106
123.361328125	n/a	126323	2110	0
123.9521484375	n/a	126928	1312	1106
123.9521484375	n/a	126928	1311	1225
129.1357421875	n/a	132236	2110	0
129.7265625	n/a	132841	1312	1225
129.7265625	n/a	132841	1311	1062
134.646484375	n/a	137879	2110	0
135.2314453125	n/a	138478	1312	1062
135.2314453125	n/a	138478	1311	1047
138.5146484375	n/a	141840	2110	0
139.111328125	n/a	142451	1312	1047
139.111328125	n/a	142451	1321	4011
142.248046875	n/a	145663	2120	0
147.169921875	n/a	150703	1322	4011
147.169921875	n/a	150703	1321	4008
153.1416015625	n/a	156818	2120	0
156.0	n/a	159745	1322	4008
156.0	n/a	159745	1311	1060
160.5732421875	n/a	164428	2110	0
161.15625	n/a	165025	1312	1060
161.15625	n/a	165025	1361	4049
170.63671875	n/a	174733	2120	0
183.4501953125	n/a	187854	1362	4049
183.4501953125	n/a	187854	1311	1081
188.244140625	n/a	192763	2110	0
